,date,rate,symbol,sentiment,count
0,17:55.2,9217.69,BTCUSDT,0.464164584,48
1,18:56.7,9205.38,BTCUSDT,0.393827119,59
2,19:58.5,9211.63,BTCUSDT,0.533588059,67
3,21:00.0,9210,BTCUSDT,0.444434092,44
4,22:01.5,9222,BTCUSDT,0.502033331,57
5,23:03.0,9217.65,BTCUSDT,0.466137499,56
6,24:04.6,9217.65,BTCUSDT,0.403687496,64
7,25:06.1,9213.53,BTCUSDT,0.524949092,55
8,26:07.7,9213.62,BTCUSDT,0.498579589,49
9,27:09.4,9219.99,BTCUSDT,0.446933998,50
10,28:11.0,9219.99,BTCUSDT,0.417501886,53
11,29:12.5,9224.22,BTCUSDT,0.425349999,64
12,30:14.0,9215.02,BTCUSDT,0.518832813,64
13,31:15.5,9234.19,BTCUSDT,0.452312003,50
14,32:17.0,9227.25,BTCUSDT,0.473859616,52
15,33:18.8,9250,BTCUSDT,0.360659458,37
16,34:20.2,9241.31,BTCUSDT,0.393331484,54
17,35:21.8,9249.84,BTCUSDT,0.423480393,51
18,36:23.4,9237.09,BTCUSDT,0.483546668,60
19,37:25.1,9234,BTCUSDT,0.430586795,53
20,38:26.6,9232.6,BTCUSDT,0.424153845,52
21,39:28.1,9230,BTCUSDT,0.487033331,45
22,40:29.8,9230.17,BTCUSDT,0.488143748,48
23,41:31.8,9235.98,BTCUSDT,0.443077496,40
24,42:33.3,9236.98,BTCUSDT,0.418548482,33
25,43:34.8,9237,BTCUSDT,0.448177549,49
26,44:36.3,9239.01,BTCUSDT,0.369964515,62
27,45:37.8,9244.09,BTCUSDT,0.488171996,50
28,46:39.2,9240.55,BTCUSDT,0.458564909,57
29,47:40.7,9243.99,BTCUSDT,0.472045649,46
30,48:42.2,9240,BTCUSDT,0.400924559,57
31,49:43.8,9242.54,BTCUSDT,0.355859091,66
32,50:45.3,9242.84,BTCUSDT,0.406195831,48
33,51:46.8,9238.8,BTCUSDT,0.443470687,58
34,52:48.3,9234.91,BTCUSDT,0.456164999,60
35,53:49.8,9230.14,BTCUSDT,0.376824588,61
36,54:51.2,9231.59,BTCUSDT,0.399184125,63
37,55:53.1,9238.98,BTCUSDT,0.527317647,51
38,56:54.6,9246.62,BTCUSDT,0.528280848,47
39,57:56.0,9242,BTCUSDT,0.469138632,44
40,58:57.7,9264.76,BTCUSDT,0.538963637,33
41,59:59.3,9261.25,BTCUSDT,0.348308792,91
42,01:01.9,9260.2,BTCUSDT,0.395933846,65
43,02:03.6,9263.09,BTCUSDT,0.486660001,45
44,03:05.4,9265.01,BTCUSDT,0.482163831,47
45,04:06.9,9259.26,BTCUSDT,0.484992306,65
46,05:09.1,9259.28,BTCUSDT,0.470425,52
47,06:10.6,9259.02,BTCUSDT,0.362317647,51
48,07:12.1,9247.85,BTCUSDT,0.435074999,60
49,08:13.7,9038.79,BTCUSDT,0.439794285,70
50,09:15.3,9238.01,BTCUSDT,0.488424998,60
51,10:16.9,9249.2,BTCUSDT,0.406385713,56
52,11:18.4,9239.43,BTCUSDT,0.392424997,56
53,12:19.9,9239.36,BTCUSDT,0.386288888,54
54,13:21.5,9239.78,BTCUSDT,0.477193336,60
55,14:23.0,9236.29,BTCUSDT,0.538243546,62
56,15:24.5,9235,BTCUSDT,0.439208194,61
57,16:26.2,9038.79,BTCUSDT,0.502726784,56
58,17:27.8,9239.78,BTCUSDT,0.450156819,44
59,18:29.5,9238,BTCUSDT,0.396666667,42
60,19:31.1,9238.01,BTCUSDT,0.536033334,57
61,20:32.7,9236.86,BTCUSDT,0.404612986,77
62,21:34.1,9237.96,BTCUSDT,0.450336507,63
63,22:35.8,9237.94,BTCUSDT,0.478779999,65
64,23:37.6,9220.27,BTCUSDT,0.539407694,65
65,24:39.5,9259.91,BTCUSDT,0.49424533,75
66,25:41.0,9264.77,BTCUSDT,0.31811346,52
67,26:43.0,9259.89,BTCUSDT,0.487207465,67
68,27:44.5,9261.91,BTCUSDT,0.478377144,70
69,28:46.2,9250,BTCUSDT,0.545192062,63
